,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
380,kloulklubed,7.04,134.26,78.8,83,75,12.75,PW,1578434157
381,zaragoza,13.59,-89.29,87.8,48,75,9.17,SV,1578434517
382,zaysan,47.47,84.87,4.06,73,87,2.08,KZ,1578434465
383,porto belo,-27.15,-48.54,81.0,88,40,4.7,BR,1578434517
384,atar,20.52,-13.05,54.99,13,0,11.52,MR,1578433875
385,ginda,30.69,78.49,39.25,98,100,1.77,IN,1578434517
386,vestmannaeyjar,63.44,-20.27,31.57,66,100,45.21,IS,1578434321
387,nouadhibou,20.93,-17.03,62.6,55,64,16.11,MR,1578434138
388,rosarito,4.91,-75.23,84.2,49,29,8.05,CO,1578434518
389,evensk,61.92,159.24,-9.36,76,70,5.61,RU,1578434170
390,ganzhou,25.86,114.93,44.51,92,13,3.96,CN,1578434518
391,zeya,53.74,127.27,-16.2,99,0,2.86,RU,1578434116
392,bhigvan,18.32,74.77,71.37,67,14,8.01,IN,1578434518
393,roald,62.58,6.12,48.2,81,75,23.04,NO,1578434518
394,puerto leguizamo,-0.19,-74.78,92.73,40,18,5.97,CO,1578434518
395,tshikapa,-6.42,20.79,70.11,93,100,0.92,CD,1578434518
396,ayan,38.23,44.7,15.15,53,0,7.49,IR,1578434519
397,swidwin,53.77,15.78,39.2,93,90,5.82,PL,1578434519
398,hirado,33.32,129.49,57.2,67,75,13.87,JP,1578434519
399,sao joao da barra,-21.64,-41.05,82.4,78,20,16.11,BR,1578434136
400,grand gaube,-20.01,57.66,78.8,88,75,1.12,MU,1578434519
401,port shepstone,-30.74,30.45,73.09,96,100,3.53,ZA,1578434519
402,saint-francois,46.42,3.91,44.6,87,90,2.24,FR,1578434519
403,nizhniy tsasuchey,50.52,115.13,0.81,89,0,3.98,RU,1578434519
404,vanavara,60.35,102.28,8.69,96,100,5.68,RU,1578433910
405,vila,45.18,8.4,36.0,81,56,3.36,IT,1578434520
406,beirut,33.9,35.48,51.8,81,75,17.22,LB,1578434433
407,la ronge,55.1,-105.3,-11.2,63,5,5.82,CA,1578434111
408,pangnirtung,66.15,-65.72,-36.4,10,20,2.86,CA,1578433842
409,lypova dolyna,50.56,33.8,22.05,85,0,2.42,UA,1578434520
410,vilcun,-38.65,-72.23,64.4,68,75,14.99,CL,1578434520
411,nicoya,10.15,-85.45,89.6,46,20,23.04,CR,1578434520
412,hailey,43.52,-114.32,37.0,69,40,4.7,US,1578434521
413,lasa,34.92,32.53,57.2,76,75,14.99,CY,1578434521
414,bolshoye selo,57.72,38.93,29.43,97,100,6.35,RU,1578434521
415,tawau,4.26,117.89,77.0,94,75,1.77,MY,1578434171
416,vanimo,-2.67,141.3,80.56,85,100,16.89,PG,1578434129
417,borogontsy,62.67,131.17,-15.41,100,69,2.26,RU,1578434522
418,dzhebariki-khaya,62.22,135.8,-1.23,98,97,1.57,RU,1578434522
419,yulara,-25.24,130.99,82.4,48,100,9.17,AU,1578433982
420,batsfjord,70.63,29.72,33.8,86,75,17.22,NO,1578434522
421,victoria point,-27.58,153.3,82.0,65,20,5.82,AU,1578434034
422,gustavo diaz ordaz,24.01,-104.69,64.4,16,5,8.05,MX,1578434522
423,zhangjiakou,40.77,114.88,2.39,86,0,6.62,CN,1578434522
424,hofn,64.25,-15.21,35.98,63,68,54.42,IS,1578434140
425,abu samrah,35.3,37.18,47.12,87,94,3.36,SY,1578434523
426,iskateley,67.68,53.15,2.12,96,9,9.22,RU,1578434523
427,san policarpo,12.18,125.51,79.11,80,100,12.62,PH,1578434523
428,puerto carreno,6.19,-67.49,93.2,46,20,10.29,CO,1578434505
429,gornopravdinsk,60.06,69.92,1.38,96,78,5.03,RU,1578434388
430,kandrian,-6.21,149.55,77.34,85,99,1.34,PG,1578434524
431,tabou,4.42,-7.36,75.6,84,0,3.65,CI,1578434158
432,paita,-5.09,-81.11,62.6,100,40,10.29,PE,1578434524
433,changde,29.04,111.68,40.71,88,0,4.25,CN,1578434524
434,okhotsk,59.36,143.24,-5.51,74,100,7.74,RU,1578434524
435,noumea,-22.28,166.46,82.4,51,100,3.36,NC,1578434115
436,ahipara,-35.17,173.16,66.0,83,0,1.01,NZ,1578434171
437,ostrovnoy,68.05,39.51,34.39,89,100,25.52,RU,1578434176
438,baiao,-2.79,-49.67,81.91,75,52,1.66,BR,1578434525
439,sivas,39.75,37.01,32.0,92,90,12.75,TR,1578434525
440,floriano,-6.77,-43.02,79.68,82,100,3.09,BR,1578434525
441,saint-philippe,45.36,-73.48,30.2,68,1,4.7,CA,1578434119
442,port hedland,-20.31,118.58,78.8,88,90,25.28,AU,1578434140
443,beidao,34.57,105.89,27.0,73,98,3.53,CN,1578434383
444,itaueira,-7.6,-43.03,77.4,90,100,4.07,BR,1578434526
445,wairoa,-39.04,177.43,62.01,50,0,11.01,NZ,1578434526
446,ribeira grande,38.52,-28.7,64.4,93,20,9.17,PT,1578434134
447,pringsewu,-5.36,104.98,71.53,95,93,2.26,ID,1578434526
448,taksimo,56.36,114.84,-13.36,97,0,0.85,RU,1578434526
449,yenotayevka,47.24,47.04,30.81,76,100,11.16,RU,1578434526
450,waddan,29.16,16.14,45.32,59,0,4.05,LY,1578434526
451,maltahohe,-24.83,16.98,68.95,33,4,13.58,NA,1578434247
452,mrakovo,43.97,18.28,23.0,92,0,2.24,BA,1578434527
453,lensk,60.71,114.91,17.73,93,100,12.41,RU,1578434527
454,swansea,51.62,-3.95,55.99,93,75,14.99,GB,1578434512
455,makakilo city,21.35,-158.09,80.6,51,40,21.92,US,1578434527
456,sistranda,63.73,8.83,46.4,65,75,16.11,NO,1578434527
457,naze,5.43,7.07,78.49,66,100,6.89,NG,1578434154
458,santa cruz cabralia,-16.28,-39.02,80.6,78,20,13.87,BR,1578434249
459,fram,-27.1,-56.02,91.4,43,40,9.17,PY,1578434527
460,langsa,4.47,97.97,73.33,84,98,3.11,ID,1578434403
461,senneterre,48.39,-77.24,24.8,92,90,12.75,CA,1578434528
462,tuatapere,-46.13,167.69,57.0,73,100,4.0,NZ,1578434528
463,san gabriel,34.1,-118.11,80.01,12,1,4.7,US,1578434528
464,samana,0.12,-76.97,89.6,55,20,5.82,EC,1578434528
465,manyana,-35.26,150.51,71.6,68,75,11.41,AU,1578434528
466,kizukuri,40.81,140.39,36.0,67,100,1.99,JP,1578434528
467,kalmunai,7.42,81.82,81.01,79,81,20.4,LK,1578433836
468,yonezawa,37.88,140.12,33.01,72,100,2.53,JP,1578434528
469,berlevag,70.86,29.09,33.8,86,75,17.22,NO,1578434530
470,labytnangi,66.66,66.39,0.52,84,3,7.96,RU,1578434530
471,camocim,-2.9,-40.84,79.52,79,49,5.23,BR,1578434343
472,karpogory,64.0,44.44,25.0,93,100,8.99,RU,1578434530
473,tupik,54.43,119.94,-11.4,88,14,2.46,RU,1578434530
474,vieste,41.88,16.18,42.8,87,75,9.17,IT,1578434530
475,lillooet,50.69,-121.94,33.8,96,90,4.7,CA,1578434531
476,aviles,43.55,-5.92,48.99,70,48,9.17,ES,1578434531
477,krasnovishersk,60.4,57.08,5.11,95,100,5.99,RU,1578434531
478,bowen,-20.01,148.25,84.0,83,90,9.17,AU,1578434531
479,maningrida,-12.05,134.23,76.46,79,100,7.23,AU,1578434110
480,burr ridge,41.75,-87.92,39.99,48,75,12.75,US,1578434531
481,minab,27.15,57.07,59.0,62,0,6.93,IR,1578434531
482,aksu,52.04,76.93,-0.4,91,90,2.8,KZ,1578434108
483,port lincoln,-34.72,135.86,66.83,69,0,6.04,AU,1578434114
484,cap malheureux,-19.98,57.61,78.8,88,75,1.12,MU,1578434532
485,calama,-22.46,-68.93,73.4,18,20,24.16,CL,1578434532
486,ruidoso,33.33,-105.67,59.0,13,1,3.36,US,1578434528
487,ponta delgada,37.73,-25.67,64.4,93,40,11.41,PT,1578434152
488,broadstairs,51.36,1.44,55.99,87,75,20.8,GB,1578434532
489,paysandu,-32.32,-58.08,84.0,33,0,1.01,UY,1578434532
490,tallahassee,30.44,-84.28,66.99,31,1,10.29,US,1578434297
491,moranbah,-22.0,148.04,73.76,82,21,11.25,AU,1578434532
492,vila franca do campo,37.72,-25.43,64.4,93,40,11.41,PT,1578433808
493,southbridge,42.08,-72.03,39.0,55,1,2.46,US,1578434424
494,mwinilunga,-11.73,24.43,63.37,96,98,3.06,ZM,1578434533
495,smithers,54.78,-127.17,15.8,85,90,3.36,CA,1578434458
496,shimoda,34.7,138.93,48.0,94,67,30.51,JP,1578434161
497,vrangel,42.73,133.08,31.28,89,100,32.41,RU,1578434533
498,goderich,43.74,-81.71,39.0,57,89,3.0,CA,1578434143
499,fairbanks,64.84,-147.72,-23.01,67,90,0.92,US,1578434132
500,kaura namoda,12.59,6.58,71.56,20,87,12.71,NG,1578434533
501,bongandanga,1.51,21.07,78.53,38,52,1.61,CD,1578434533
502,mahajanga,-15.72,46.32,78.8,94,20,1.12,MG,1578434534
503,yelatma,54.97,41.75,19.9,95,68,5.77,RU,1578434534
504,maldonado,-34.91,-54.96,77.0,36,0,10.29,UY,1578434534
505,dilla,6.41,38.31,53.24,93,100,4.43,ET,1578434534
506,auki,12.18,6.51,72.07,21,100,13.53,NG,1578434158
507,cruzeiro do sul,-7.63,-72.67,89.6,52,75,3.36,BR,1578434147
508,keetmanshoop,-26.57,18.15,77.0,57,46,8.05,NA,1578434534
509,sterling,39.0,-77.4,34.0,99,90,9.17,US,1578434431
510,luderitz,-26.65,15.16,64.4,88,54,10.29,NA,1578434140
511,minatitlan,19.39,-104.05,84.2,42,40,1.03,MX,1578434535
512,netanya,32.33,34.86,55.0,62,40,13.87,IL,1578434413
513,wajir,1.75,40.07,82.71,63,100,15.66,KE,1578434535
514,rosa zarate,0.33,-79.47,79.27,84,28,5.55,EC,1578434535
515,khani,41.96,42.96,46.4,49,40,10.29,GE,1578434535
516,itaituba,-4.26,-55.99,87.8,70,20,10.29,BR,1578434535
517,pedernales,0.07,-80.05,78.6,79,65,7.78,EC,1578434535
518,damietta,31.42,31.81,56.98,68,11,30.51,EG,1578434535
519,taboga,46.27,13.11,39.0,72,1,4.7,IT,1578434536
520,mago,53.27,140.15,3.56,96,100,5.44,RU,1578434112
521,verkh-chebula,56.03,87.61,11.64,93,100,7.87,RU,1578434536
522,oussouye,12.49,-16.54,71.6,64,100,6.93,SN,1578434133
523,cockburn town,21.46,-71.14,78.39,76,25,11.97,TC,1578433990
524,laureles,29.18,-110.87,82.0,14,40,3.8,MX,1578434536
525,sao gabriel da cachoeira,-0.13,-67.09,89.29,54,16,2.28,BR,1578434354
526,pandoh,31.67,77.06,40.77,94,100,2.89,IN,1578434536
527,sao geraldo do araguaia,-6.4,-48.55,79.95,87,55,1.28,BR,1578434536
528,thinadhoo,0.53,72.93,83.16,79,87,13.89,MV,1578434147
529,paamiut,61.99,-49.67,13.57,81,100,9.89,GL,1578434536
530,bambous virieux,-20.34,57.76,78.8,88,75,1.12,MU,1578434112
531,salalah,17.01,54.1,77.0,50,0,8.05,OM,1578434123
532,newcastleton,55.18,-2.81,53.01,93,100,29.97,GB,1578434537
533,bela,26.23,66.31,62.64,75,22,2.28,PK,1578434537
534,sharjah,25.36,55.39,66.2,59,0,8.05,AE,1578434537
535,mantua,45.16,10.79,34.0,100,90,5.82,IT,1578434282
536,alice town,25.72,-79.3,72.16,57,6,8.12,BS,1578434538
537,nyagan,62.14,65.43,4.15,93,68,7.14,RU,1578434538
538,lyuban,52.8,28.0,28.98,96,26,5.37,BY,1578434538
539,dvinskoy,62.16,45.12,18.86,94,97,5.95,RU,1578434538
540,itinga,-16.61,-41.77,75.6,92,100,0.92,BR,1578434538
541,pangkalanbuun,-2.68,111.62,74.59,96,100,1.86,ID,1578434291
542,gari,59.43,62.35,2.08,93,85,5.48,RU,1578434538
543,biloela,-24.4,150.51,69.51,76,6,4.27,AU,1578434538
544,werda,-25.27,23.28,68.9,81,100,16.02,BW,1578434538
545,bunia,1.56,30.25,75.54,59,39,4.79,CD,1578434538
546,fukue,35.03,136.69,54.0,93,75,10.29,JP,1578434539
547,villa carlos paz,-31.42,-64.5,86.0,30,20,23.04,AR,1578434539
548,marawi,8.0,124.29,71.01,92,100,8.99,PH,1578434539
549,tautira,-17.73,-149.15,86.0,74,40,8.05,PF,1578434145
550,contai,21.78,87.75,63.63,58,33,4.61,IN,1578434539
551,ayorou,14.73,0.92,73.17,19,36,11.65,NE,1578434539
552,nishihara,35.74,139.53,43.0,100,90,1.9,JP,1578434140
553,kodinsk,58.6,99.18,10.26,97,98,3.4,RU,1578434539
