,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,saint-pierre,48.95,4.24,46.0,100,90,13.87,FR,1578434164
88,walvis bay,-22.95,14.51,64.99,88,0,5.82,NA,1578434154
89,norman wells,65.28,-126.83,-41.8,72,5,1.63,CA,1578434123
90,qaqortoq,60.72,-46.03,10.4,72,100,5.37,GL,1578434157
91,coahuayana,18.62,-100.35,90.86,24,47,4.05,MX,1578434166
92,general pico,-35.66,-63.75,87.89,24,2,7.63,AR,1578434479
93,hilo,19.71,-155.08,78.8,65,90,17.22,US,1578433845
94,dingle,11.0,122.67,73.33,90,100,8.08,PH,1578434113
95,cangzhou,38.3,116.85,26.4,51,65,7.36,CN,1578434480
96,shelburne,44.08,-80.2,39.2,55,1,12.75,CA,1578434179
97,yar-sale,66.83,70.83,0.86,86,23,7.49,RU,1578434480
98,upernavik,72.79,-56.15,-13.02,75,100,3.8,GL,1578434144
99,iqaluit,63.75,-68.52,-16.6,62,90,17.22,CA,1578434157
100,seoul,37.57,126.98,37.4,100,90,1.12,KR,1578434405
101,esperance,-33.86,121.89,64.4,93,90,9.17,AU,1578434167
102,srivardhan,18.03,73.02,73.22,84,2,7.61,IN,1578434480
103,panguna,-6.32,155.48,75.07,86,100,2.66,PG,1578434481
104,madison,43.07,-89.38,37.0,47,90,20.8,US,1578434481
105,longyearbyen,78.22,15.63,28.4,68,40,44.96,NO,1578434113
106,margate,-43.03,147.26,68.0,67,20,6.93,AU,1578434153
107,kapaa,22.08,-159.32,80.6,78,75,20.8,US,1578434123
108,iralaya,15.0,-83.23,80.6,83,40,10.29,HN,1578434481
109,kasongo,-4.43,26.67,73.29,86,100,2.51,CD,1578434481
110,gobabis,-22.45,18.97,69.91,77,67,8.9,NA,1578434481
111,mataura,-46.19,168.86,57.0,73,92,5.99,NZ,1578434110
112,tuktoyaktuk,69.44,-133.03,-32.8,66,20,13.87,CA,1578434124
113,diego de almagro,-26.39,-70.05,78.01,28,0,15.93,CL,1578434482
114,souillac,45.6,-0.6,52.0,100,90,5.82,FR,1578434136
115,ciudad bolivar,8.12,-63.55,90.28,31,11,8.05,VE,1578434482
116,clyde river,70.47,-68.59,-27.4,67,20,3.36,CA,1578434148
117,ayna,38.55,-2.07,33.8,86,21,3.36,ES,1578434482
118,vao,59.1,26.19,38.34,82,100,13.85,EE,1578434144
119,severo-kurilsk,50.68,156.12,18.82,88,58,10.38,RU,1578434112
120,puerto narino,-3.77,-70.38,95.0,50,40,5.82,CO,1578434482
121,tiksi,71.64,128.87,-9.85,89,93,4.47,RU,1578434109
122,ancud,-41.87,-73.83,55.4,87,90,12.75,CL,1578434114
123,buzmeyin,38.05,58.21,33.8,100,72,2.24,TM,1578434483
124,alencon,48.43,0.08,53.6,100,90,8.05,FR,1578434483
125,phalaborwa,-23.95,31.14,77.0,73,0,6.93,ZA,1578434483
126,san patricio,-26.98,-56.83,91.15,29,0,6.46,PY,1578434118
127,hobyo,5.35,48.53,77.92,79,98,14.45,SO,1578434483
128,si sa ket,15.12,104.33,69.8,88,100,4.7,TH,1578434483
129,kirovsk,67.62,33.66,33.22,99,100,6.35,RU,1578434483
130,aberdeen,46.98,-123.82,51.01,93,90,19.46,US,1578434484
131,suba,28.73,103.51,34.16,91,97,1.83,CN,1578434484
132,codrington,-28.95,153.24,78.01,73,58,1.12,AU,1578434161
133,victoria,5.28,115.24,80.6,88,75,1.12,BN,1578434110
134,yarmouth,43.84,-66.12,33.01,58,40,13.87,CA,1578434404
135,jerome,34.75,-112.11,66.99,25,1,5.19,US,1578434125
136,gubkinskiy,64.43,76.5,-5.42,96,0,11.61,RU,1578434484
137,salinopolis,-0.61,-47.36,81.99,78,87,13.71,BR,1578434113
138,niort,46.32,-0.46,53.6,93,90,8.05,FR,1578434484
139,najran,17.54,44.22,62.6,72,0,2.39,SA,1578434122
140,mantenopolis,-18.86,-41.12,78.04,90,74,5.1,BR,1578434485
141,rudnogorsk,57.27,103.75,8.19,96,95,3.76,RU,1578434485
142,merauke,-8.49,140.4,75.25,94,100,5.26,ID,1578434376
143,kahului,20.89,-156.47,80.6,54,40,20.8,US,1578433899
144,mount gambier,-37.83,140.78,57.2,100,78,6.93,AU,1578434179
145,sorong,-0.86,131.25,74.26,98,100,1.88,ID,1578434485
146,avera,33.19,-82.53,64.4,29,1,13.87,US,1578434159
147,praxedis guerrero,31.37,-106.02,57.2,15,1,5.86,MX,1578434485
148,hay river,60.82,-115.79,-16.6,68,90,1.63,CA,1578434486
149,nome,30.04,-94.42,68.0,19,1,4.7,US,1578433883
150,rio grande,-32.03,-52.1,80.6,47,0,14.99,BR,1578433851
151,lucea,18.44,-78.17,82.99,74,75,17.22,JM,1578434212
152,morant bay,17.88,-76.41,84.2,70,20,10.29,JM,1578434486
153,dikson,73.51,80.55,4.06,95,95,10.25,RU,1578434139
154,ponta do sol,-20.63,-46.0,78.35,79,100,4.45,BR,1578433849
155,surgut,61.25,73.4,1.4,91,43,4.47,RU,1578434486
156,san alberto,-24.98,-54.91,86.0,62,75,6.93,PY,1578434486
157,sadat,14.53,44.17,65.41,78,65,4.14,YE,1578434486
158,airai,-8.93,125.41,66.96,78,73,4.29,TL,1578434147
159,barmer,25.74,71.4,58.26,74,0,11.1,IN,1578434487
160,sam roi yot,12.21,99.86,75.74,75,98,5.44,TH,1578434487
161,sao filipe,14.9,-24.5,68.31,75,100,23.91,CV,1578434126
162,gushikawa,26.35,127.87,73.4,83,20,16.11,JP,1578434487
163,san cristobal,14.68,-86.92,76.5,59,97,10.16,HN,1578433854
164,krasnoturansk,54.32,91.57,3.2,84,100,2.06,RU,1578434488
165,manoel urbano,-8.84,-69.26,93.15,38,0,5.86,BR,1578434488
166,pitimbu,-7.47,-34.81,82.4,88,75,10.29,BR,1578434488
167,buala,-8.15,159.59,83.34,77,64,4.61,SB,1578434171
168,sokoni,-12.89,28.78,63.84,96,100,3.44,CD,1578434488
169,ilulissat,69.22,-51.1,-2.2,44,20,13.87,GL,1578434128
170,natal,-5.81,-35.21,84.2,78,75,12.75,BR,1578434488
171,muli,28.08,109.56,39.69,90,100,9.91,CN,1578434128
172,pevek,69.7,170.27,-8.5,76,0,13.35,RU,1578434119
173,kaitangata,-46.28,169.85,57.0,63,55,1.99,NZ,1578434131
174,mishan,45.55,131.88,6.15,95,99,5.97,CN,1578434488
175,pamyat parizhskoy kommuny,56.1,44.5,24.01,85,75,6.71,RU,1578434489
176,talara,-4.58,-81.27,62.6,100,40,10.29,PE,1578434489
177,virginia beach,36.85,-75.98,51.8,93,90,8.05,US,1578434416
